level,key,unit,macro,rho_T1,p_T1,rho_T2,p_T2,rho_T3,rho_H1,rho_H2,n_tokens_T1,zero_share_T1,T1_only,era_composition,confirmed,unit_level
genre,minutes,should/aspectual,vix,-0.285,0.0043,-0.269,0.01,-0.27,-0.051,-0.356,34,0.737,False,False,False,U3
genre,minutes,should/communication,cfnai,-0.111,0.2762,-0.137,0.1954,-0.046,-0.004,-0.186,49,0.626,False,False,False,U3
genre,minutes,should/communication,vix,0.051,0.617,0.099,0.351,0.01,0.139,-0.261,49,0.626,False,False,False,U3
genre,minutes,should/other,cfnai,0.158,0.1186,0.196,0.0621,0.147,0.256,0.157,73,0.505,False,False,False,U3
genre,minutes,should/other,vix,-0.127,0.2118,-0.112,0.2893,-0.137,-0.058,0.028,73,0.505,False,False,False,U3
genre,minutes,would/activity,cfnai,-0.055,0.5896,0.034,0.7523,-0.004,-0.078,0.152,360,0.02,False,False,False,U3
genre,minutes,would/activity,vix,0.42,0.0,0.415,0.0,0.229,0.222,0.352,360,0.02,False,False,True,U3
genre,minutes,would/aspectual,cfnai,-0.008,0.9365,-0.054,0.6126,0.018,-0.193,0.203,306,0.061,False,False,False,U3
genre,minutes,would/aspectual,vix,0.182,0.0713,0.082,0.4396,0.097,-0.217,-0.107,306,0.061,False,False,False,U3
genre,minutes,would/causative,cfnai,0.058,0.5716,0.156,0.14,0.074,0.158,0.127,263,0.141,False,False,False,U3
genre,minutes,would/causative,vix,0.003,0.9781,-0.021,0.8411,-0.049,-0.195,0.183,263,0.141,False,False,False,U3
genre,minutes,would/communication,cfnai,0.04,0.6922,0.073,0.4897,0.007,0.105,0.017,76,0.545,False,False,False,U3
genre,minutes,would/communication,vix,-0.192,0.0569,-0.29,0.0053,-0.2,-0.179,0.005,76,0.545,False,False,False,U3
genre,minutes,would/copular_adj,cfnai,0.175,0.0827,0.199,0.0587,0.149,0.306,0.072,617,0.0,False,False,False,U3
genre,minutes,would/copular_adj,vix,0.366,0.0002,0.305,0.0032,0.266,0.289,0.217,617,0.0,False,False,True,U3
genre,minutes,would/copular_nom,cfnai,-0.014,0.8917,-0.028,0.7902,-0.022,0.01,-0.03,62,0.535,False,False,False,U3
genre,minutes,would/copular_nom,vix,-0.036,0.7243,-0.09,0.3944,-0.046,-0.029,-0.202,62,0.535,False,False,False,U3
genre,minutes,would/existence,cfnai,0.42,0.0,0.424,0.0,0.329,0.454,0.406,188,0.222,False,False,True,U3
genre,minutes,would/existence,vix,0.037,0.7148,-0.073,0.4946,0.019,-0.1,0.142,188,0.222,False,False,False,U3
genre,minutes,would/mental,cfnai,-0.25,0.0124,-0.18,0.0876,-0.284,-0.226,-0.133,164,0.131,True,False,False,U3
genre,minutes,would/mental,vix,-0.225,0.025,-0.256,0.0142,-0.168,-0.188,-0.243,164,0.131,False,False,True,U3
genre,minutes,would/occurrence,cfnai,0.035,0.7294,0.038,0.7226,0.078,0.063,-0.034,426,0.01,False,False,False,U3
genre,minutes,would/occurrence,vix,-0.22,0.0283,-0.117,0.2704,-0.172,0.177,0.124,426,0.01,True,False,False,U3
genre,minutes,would/other,cfnai,0.062,0.5395,0.066,0.5342,-0.005,-0.015,0.129,405,0.061,False,False,False,U3
genre,minutes,would/other,vix,0.133,0.1886,0.068,0.5225,0.163,-0.011,0.195,405,0.061,False,False,False,U3
genre,minutes,would/policy_action,cfnai,-0.045,0.6559,-0.023,0.8314,-0.061,0.135,-0.198,345,0.101,False,False,False,U3
genre,minutes,would/policy_action,vix,-0.379,0.0001,-0.437,0.0,-0.389,-0.267,-0.156,345,0.101,False,False,True,U3
genre,statement,could/causative,cfnai,-0.062,0.535,-0.167,0.1127,-0.011,0.094,-0.438,50,0.505,False,False,False,U3
genre,statement,could/causative,vix,0.332,0.0007,0.451,0.0,0.185,-0.083,-0.012,50,0.505,True,True,False,U3
genre,statement,will/activity,cfnai,-0.342,0.0005,-0.286,0.006,-0.227,0.004,-0.474,132,0.01,True,True,False,U3
genre,statement,will/activity,vix,0.224,0.0245,0.241,0.0214,-0.004,0.191,-0.073,132,0.01,True,True,False,U3
genre,statement,will/aspectual,cfnai,-0.16,0.1092,-0.175,0.0964,-0.149,-0.174,-0.256,126,0.327,False,False,False,U3
genre,statement,will/aspectual,vix,0.406,0.0,0.393,0.0001,0.337,0.069,-0.325,126,0.327,True,True,False,U3
genre,statement,will/copular_adj,cfnai,0.393,0.0,0.338,0.0011,0.353,0.19,0.386,51,0.535,False,False,True,U3
genre,statement,will/copular_adj,vix,0.151,0.1317,0.219,0.037,-0.008,0.17,0.278,51,0.535,False,False,False,U3
genre,statement,will/mental,cfnai,-0.285,0.0039,-0.181,0.0858,-0.27,0.078,-0.453,105,0.257,True,False,False,U3
genre,statement,will/mental,vix,-0.368,0.0002,-0.419,0.0,-0.409,-0.353,-0.257,105,0.257,False,False,True,U3
genre,statement,will/occurrence,cfnai,0.177,0.0771,0.203,0.0537,0.095,0.238,0.17,47,0.644,False,False,False,U3
genre,statement,will/occurrence,vix,-0.229,0.021,-0.364,0.0004,-0.211,-0.4,0.048,47,0.644,False,False,False,U3
genre,statement,will/policy_action,cfnai,0.038,0.7031,0.027,0.7998,0.031,0.143,-0.241,57,0.614,False,False,False,U3
genre,statement,will/policy_action,vix,-0.412,0.0,-0.387,0.0002,-0.199,-0.204,0.003,57,0.614,False,False,False,U3
genre,statement,would/copular_adj,cfnai,-0.077,0.4432,-0.181,0.0861,-0.021,,-0.438,46,0.545,False,False,False,U3
genre,statement,would/copular_adj,vix,0.359,0.0002,0.474,0.0,0.247,,-0.012,46,0.545,True,True,False,U3
layer,min_committee,could/causative,cfnai,-0.097,0.3416,-0.204,0.0528,-0.037,0.057,-0.544,55,0.465,False,False,False,U3
layer,min_committee,could/causative,vix,0.325,0.001,0.414,0.0,0.275,-0.015,-0.099,55,0.465,True,True,False,U3
layer,min_committee,should/communication,cfnai,-0.085,0.402,-0.133,0.2075,-0.035,-0.081,-0.152,38,0.707,False,False,False,U3
layer,min_committee,should/communication,vix,0.166,0.0996,0.239,0.0223,0.115,0.263,-0.127,38,0.707,False,False,False,U3
layer,min_committee,would/activity,cfnai,-0.106,0.2941,-0.01,0.9219,-0.0,-0.009,0.046,108,0.162,False,False,False,U3
layer,min_committee,would/activity,vix,0.328,0.0009,0.286,0.0059,0.164,-0.055,0.108,108,0.162,True,True,False,U3
layer,min_committee,would/aspectual,cfnai,-0.085,0.4019,-0.089,0.4028,-0.072,-0.173,0.068,116,0.212,False,False,False,U3
