level,key,unit,period,macro,n_tokens,zero_share,n,r,p_r,rho,p_rho,q_rho,eligible,unit_level
layer,min_participants,may,H2,cfnai,78,0.256,43,-0.1986,0.2016,-0.1408,0.3679,0.6219,True,modal
layer,min_participants,may,H2,vix,78,0.256,43,-0.4725,0.0014,-0.5373,0.0002,0.0049,True,modal
layer,min_participants,should,T1,cfnai,149,0.283,99,-0.0769,0.4494,0.0293,0.7734,0.9581,True,modal
layer,min_participants,should,T1,vix,149,0.283,99,-0.2067,0.0401,-0.2386,0.0174,0.058,True,modal
layer,min_participants,should,T2,cfnai,138,0.275,91,0.1185,0.2633,0.1466,0.1655,0.4138,True,modal
layer,min_participants,should,T2,vix,138,0.275,91,-0.2659,0.0108,-0.2437,0.0199,0.0664,True,modal
layer,min_participants,should,T3,cfnai,170,0.382,131,-0.0713,0.4185,0.0234,0.7911,0.9832,True,modal
layer,min_participants,should,T3,vix,170,0.382,131,-0.2427,0.0052,-0.2917,0.0007,0.0054,True,modal
layer,min_participants,should,H1,cfnai,88,0.167,48,0.121,0.4125,0.13,0.3784,0.5202,True,modal
layer,min_participants,should,H1,vix,88,0.167,48,-0.1777,0.2268,-0.0855,0.5636,0.8358,True,modal
layer,min_participants,should,H2,cfnai,50,0.395,43,0.1462,0.3497,0.1348,0.3889,0.6219,True,modal
layer,min_participants,should,H2,vix,50,0.395,43,-0.1995,0.1995,-0.1551,0.3206,0.5358,True,modal
layer,min_participants,would,T1,cfnai,1537,0.0,99,-0.1939,0.0545,0.0175,0.8637,0.9581,True,modal
layer,min_participants,would,T1,vix,1537,0.0,99,0.3016,0.0024,0.2402,0.0166,0.058,True,modal
layer,min_participants,would,T2,cfnai,1346,0.0,91,0.1213,0.2521,0.1307,0.2167,0.4567,True,modal
layer,min_participants,would,T2,vix,1346,0.0,91,0.1287,0.2239,0.1746,0.0978,0.2162,True,modal
layer,min_participants,would,T3,cfnai,1903,0.0,131,-0.1727,0.0485,0.0121,0.8908,0.9832,True,modal
layer,min_participants,would,T3,vix,1903,0.0,131,0.1622,0.0642,0.1452,0.0979,0.1957,True,modal
layer,min_participants,would,H1,cfnai,700,0.0,48,0.123,0.4051,0.1375,0.3513,0.5166,True,modal
