genre,modal,pclass,total_n,macro,n,r,p,rho,p_rho,q_bh
speech,can,copular_adj,41,cfnai_ma3_lag2,124,0.035,0.7021,0.027,0.7699,0.8861
speech,can,copular_adj,41,vix_pre28,124,0.321,0.0003,0.12,0.1841,0.0104
speech,can,mental,44,cfnai_ma3_lag2,124,0.045,0.6184,0.039,0.6693,0.878
speech,can,mental,44,vix_pre28,124,-0.024,0.7912,0.071,0.4364,0.9149
speech,can,other,176,cfnai_ma3_lag2,124,-0.288,0.0012,0.043,0.6376,0.0208
speech,can,other,176,vix_pre28,124,0.18,0.0451,0.027,0.7635,0.3015
speech,can,policy_action,42,cfnai_ma3_lag2,124,0.003,0.9723,-0.042,0.6397,0.9865
speech,can,policy_action,42,vix_pre28,124,-0.009,0.9168,-0.072,0.4239,0.9775
speech,could,activity,60,cfnai_ma3_lag2,124,0.154,0.0868,0.077,0.3949,0.3956
speech,could,activity,60,vix_pre28,124,-0.007,0.9352,-0.084,0.3565,0.9824
speech,could,causative,60,cfnai_ma3_lag2,124,0.011,0.8993,-0.062,0.4938,0.9775
speech,could,causative,60,vix_pre28,124,-0.047,0.6041,-0.077,0.3981,0.8657
speech,could,occurrence,46,cfnai_ma3_lag2,124,0.023,0.8009,-0.034,0.7106,0.92
speech,could,occurrence,46,vix_pre28,124,-0.205,0.0227,-0.289,0.0011,0.1972
speech,could,other,89,cfnai_ma3_lag2,124,0.104,0.2507,0.068,0.4524,0.5905
speech,could,other,89,vix_pre28,124,-0.134,0.1376,-0.218,0.0148,0.4911
speech,may,activity,75,cfnai_ma3_lag2,124,0.005,0.957,-0.03,0.7399,0.9824
speech,may,activity,75,vix_pre28,124,0.014,0.881,-0.04,0.6598,0.9758
speech,may,causative,58,cfnai_ma3_lag2,124,-0.005,0.9574,-0.011,0.9034,0.9824
speech,may,causative,58,vix_pre28,124,-0.092,0.311,-0.215,0.0164,0.6452
speech,may,copular_adj,56,cfnai_ma3_lag2,124,0.031,0.7354,-0.009,0.9194,0.893
speech,may,copular_adj,56,vix_pre28,124,-0.178,0.0479,-0.246,0.0058,0.3015
speech,may,other,88,cfnai_ma3_lag2,124,0.114,0.2082,0.043,0.6362,0.5788
speech,may,other,88,vix_pre28,124,-0.038,0.6761,-0.095,0.296,0.8785
speech,should,activity,41,cfnai_ma3_lag2,124,0.031,0.7356,0.039,0.6689,0.893
speech,should,activity,41,vix_pre28,124,0.321,0.0003,-0.005,0.9547,0.0104
speech,should,other,57,cfnai_ma3_lag2,124,0.026,0.7735,-0.035,0.7003,0.9044
speech,should,other,57,vix_pre28,124,0.076,0.4015,-0.191,0.0334,0.7326
speech,will,activity,184,cfnai_ma3_lag2,124,-0.289,0.0011,-0.209,0.0196,0.0204
speech,will,activity,184,vix_pre28,124,0.292,0.001,0.152,0.0912,0.0199
speech,will,aspectual,119,cfnai_ma3_lag2,124,-0.177,0.0488,-0.132,0.1452,0.3015
speech,will,aspectual,119,vix_pre28,124,0.058,0.5233,0.014,0.881,0.8327
speech,will,causative,51,cfnai_ma3_lag2,124,0.09,0.3196,0.056,0.5402,0.647
speech,will,causative,51,vix_pre28,124,-0.088,0.3327,-0.177,0.0489,0.6606
speech,will,communication,123,cfnai_ma3_lag2,124,0.05,0.5785,-0.071,0.4353,0.8554
speech,will,communication,123,vix_pre28,124,-0.106,0.2432,-0.119,0.1868,0.5905
speech,will,copular_adj,84,cfnai_ma3_lag2,124,0.11,0.2257,0.004,0.9657,0.5898
speech,will,copular_adj,84,vix_pre28,124,0.095,0.2946,-0.001,0.988,0.6383
speech,will,copular_nom,42,cfnai_ma3_lag2,124,0.004,0.9666,-0.113,0.2114,0.9843
speech,will,copular_nom,42,vix_pre28,124,0.091,0.3166,-0.025,0.7796,0.647
speech,will,existence,62,cfnai_ma3_lag2,124,-0.008,0.9319,0.066,0.4685,0.9824
speech,will,existence,62,vix_pre28,124,0.138,0.1277,-0.075,0.4108,0.4797
speech,will,mental,72,cfnai_ma3_lag2,124,0.033,0.7197,-0.002,0.9812,0.8892
speech,will,mental,72,vix_pre28,124,0.002,0.9811,0.016,0.8632,0.9865
speech,will,occurrence,127,cfnai_ma3_lag2,124,0.057,0.5302,-0.108,0.2304,0.8327
speech,will,occurrence,127,vix_pre28,124,-0.162,0.0727,-0.252,0.0048,0.368
speech,will,other,265,cfnai_ma3_lag2,124,-0.041,0.6548,-0.028,0.7581,0.8785
speech,will,other,265,vix_pre28,124,0.127,0.1606,0.068,0.4562,0.5057
speech,will,policy_action,84,cfnai_ma3_lag2,124,0.09,0.3226,0.035,0.7031,0.647
speech,will,policy_action,84,vix_pre28,124,0.04,0.6587,0.038,0.6766,0.8785
speech,would,activity,58,cfnai_ma3_lag2,124,0.017,0.854,0.034,0.7062,0.9612
speech,would,activity,58,vix_pre28,124,-0.143,0.1134,-0.278,0.0017,0.4433
speech,would,causative,59,cfnai_ma3_lag2,124,0.074,0.4116,-0.02,0.823,0.7382
speech,would,causative,59,vix_pre28,124,-0.103,0.2549,-0.153,0.089,0.5905
speech,would,copular_adj,107,cfnai_ma3_lag2,124,0.147,0.1025,-0.026,0.7713,0.419
speech,would,copular_adj,107,vix_pre28,124,-0.127,0.1598,-0.168,0.0618,0.5057
speech,would,existence,44,cfnai_ma3_lag2,124,-0.041,0.6482,-0.176,0.0501,0.8785
speech,would,existence,44,vix_pre28,124,-0.092,0.3082,-0.202,0.0248,0.6448
speech,would,mental,43,cfnai_ma3_lag2,124,-0.058,0.521,0.004,0.9684,0.8327
speech,would,mental,43,vix_pre28,124,0.105,0.2477,-0.051,0.5761,0.5905
speech,would,occurrence,49,cfnai_ma3_lag2,124,0.098,0.2781,0.041,0.6535,0.6136
speech,would,occurrence,49,vix_pre28,124,-0.034,0.7112,0.021,0.8132,0.8861
speech,would,other,178,cfnai_ma3_lag2,124,0.121,0.1815,0.082,0.3629,0.5311
speech,would,other,178,vix_pre28,124,-0.067,0.4616,-0.165,0.0678,0.7825
