doc_id,doc_type,date,chair,word_count,compound,pos,neu,neg,n_sent,share_pos,share_neg
speech_bernanke_20120314a,Chair Speech,2012-03-14,Bernanke,1452,0.24154843750000002,0.1195,0.848296875,0.032171875,64,0.625,0.09375
speech_bernanke_20120323a,Chair Speech,2012-03-23,Bernanke,713,0.21778,0.10056666666666668,0.8143666666666667,0.018366666666666667,30,0.4666666666666667,0.1
speech_bernanke_20120326a,Chair Speech,2012-03-26,Bernanke,4892,-0.12042736842105262,0.06713684210526316,0.8439315789473685,0.08895263157894737,190,0.2631578947368421,0.45789473684210524
speech_bernanke_20120409a,Chair Speech,2012-04-09,Bernanke,3706,0.12396716417910447,0.09907462686567164,0.8445074626865672,0.05636567164179104,134,0.5597014925373134,0.2537313432835821
speech_bernanke_20120413a,Chair Speech,2012-04-13,Bernanke,4995,-0.11085310734463276,0.08629378531073446,0.8022881355932203,0.1114406779661017,177,0.3502824858757062,0.4632768361581921
speech_bernanke_20120510a,Chair Speech,2012-05-10,Bernanke,3208,0.2096181818181818,0.12961983471074381,0.8228099173553719,0.04756198347107439,121,0.5950413223140496,0.19834710743801653
speech_bernanke_20120724a,Chair Speech,2012-07-24,Bernanke,1126,0.2266894736842105,0.11303508771929824,0.8672280701754387,0.019736842105263157,57,0.45614035087719296,0.07017543859649122
speech_bernanke_20120806a,Chair Speech,2012-08-06,Bernanke,1697,0.24180416666666663,0.11168055555555556,0.855125,0.03319444444444444,72,0.5,0.1527777777777778
speech_bernanke_20120807a,Chair Speech,2012-08-07,Bernanke,1225,0.36455,0.15790384615384617,0.8265576923076922,0.015519230769230768,52,0.6730769230769231,0.038461538461538464
speech_bernanke_20120831a,Chair Speech,2012-08-31,Bernanke,7339,0.08971563275434243,0.06610421836228288,0.8974516129032258,0.03645161290322581,403,0.33002481389578164,0.16377171215880892
speech_bernanke_20121001a,Chair Speech,2012-10-01,Bernanke,4393,0.242155737704918,0.122224043715847,0.8318743169398908,0.04590710382513661,183,0.5737704918032787,0.15846994535519127
speech_bernanke_20121014a,Chair Speech,2012-10-14,Bernanke,1744,0.2025809523809524,0.13366666666666666,0.8052857142857143,0.06104761904761905,63,0.5079365079365079,0.2698412698412698
speech_bernanke_20121115a,Chair Speech,2012-11-15,Bernanke,3945,0.141262874251497,0.11638922155688622,0.8219880239520958,0.06161077844311378,167,0.49700598802395207,0.24550898203592814
speech_bernanke_20121120a,Chair Speech,2012-11-20,Bernanke,4986,0.06195027932960894,0.09531284916201117,0.8358882681564247,0.06882122905027933,179,0.40782122905027934,0.3128491620111732
speech_bernanke_20130301a,Chair Speech,2013-03-01,Bernanke,5425,0.13626899563318778,0.0819301310043668,0.873471615720524,0.04461572052401746,229,0.4366812227074236,0.17467248908296942
speech_bernanke_20130325a,Chair Speech,2013-03-25,Bernanke,2577,0.11677232142857143,0.10237500000000001,0.8436785714285715,0.053955357142857145,112,0.41964285714285715,0.22321428571428573
speech_bernanke_20130408a,Chair Speech,2013-04-08,Bernanke,4287,-0.05720238095238095,0.07375595238095238,0.8385476190476192,0.08772619047619047,168,0.3273809523809524,0.4226190476190476
speech_bernanke_20130412a,Chair Speech,2013-04-12,Bernanke,3659,0.15687592592592592,0.09790123456790123,0.8558765432098765,0.046197530864197534,162,0.48148148148148145,0.1728395061728395
speech_bernanke_20130510a,Chair Speech,2013-05-10,Bernanke,4414,0.08423588235294117,0.09448823529411764,0.8369941176470588,0.06845882352941177,170,0.4470588235294118,0.27647058823529413
speech_bernanke_20130518a,Chair Speech,2013-05-18,Bernanke,2800,0.2698055555555556,0.11865873015873016,0.8520396825396825,0.029325396825396827,126,0.5714285714285714,0.0873015873015873
speech_bernanke_20130602a,Chair Speech,2013-06-02,Bernanke,1844,0.22569532710280374,0.13958878504672895,0.797803738317757,0.04395327102803738,107,0.4953271028037383,0.1308411214953271
speech_bernanke_20130710a,Chair Speech,2013-07-10,Bernanke,7149,0.07712854291417165,0.04843313373253493,0.9278582834331337,0.023706586826347305,501,0.23552894211576847,0.09181636726546906
speech_bernanke_20131002a,Chair Speech,2013-10-02,Bernanke,1146,0.28647272727272727,0.11829545454545455,0.8602954545454545,0.021386363636363634,44,0.6590909090909091,0.09090909090909091
speech_bernanke_20131014a,Chair Speech,2013-10-14,Bernanke,1376,0.21152291666666667,0.11789583333333335,0.8381875,0.04395833333333333,48,0.5833333333333334,0.22916666666666666
