key,unit,period,macro,k,n,r,p_r,rho,p_rho
minutes,could+impede,T1,cfnai,6,97,0.0047,0.9634,-0.1847,0.0701
minutes,could+impede,T1,cfnai,7,96,0.0026,0.9802,-0.1943,0.0578
minutes,could+impede,T1,cfnai,8,95,0.0069,0.9471,-0.1734,0.0929
minutes,could+impede,T1,cfnai,9,95,-0.0024,0.9814,-0.1518,0.142
minutes,could+impede,T1,vix,-9,99,0.3944,0.0001,0.4673,0.0
minutes,could+impede,T1,vix,-8,99,0.4216,0.0,0.4946,0.0
minutes,could+impede,T1,vix,-7,99,0.4221,0.0,0.4579,0.0
minutes,could+impede,T1,vix,-6,99,0.3311,0.0008,0.4162,0.0
minutes,could+impede,T1,vix,-5,99,0.4188,0.0,0.4745,0.0
minutes,could+impede,T1,vix,-4,99,0.2781,0.0053,0.4416,0.0
minutes,could+impede,T1,vix,-3,99,0.2226,0.0268,0.4198,0.0
minutes,could+impede,T1,vix,-2,99,0.3539,0.0003,0.4423,0.0
minutes,could+impede,T1,vix,-1,99,0.2214,0.0276,0.3722,0.0001
minutes,could+impede,T1,vix,0,99,0.1473,0.1457,0.3218,0.0012
minutes,could+impede,T1,vix,1,99,0.2379,0.0177,0.3379,0.0006
minutes,could+impede,T1,vix,2,99,0.1286,0.2046,0.2888,0.0037
minutes,could+impede,T1,vix,3,99,0.1018,0.316,0.2626,0.0087
minutes,could+impede,T1,vix,4,98,0.1641,0.1065,0.2785,0.0055
minutes,could+impede,T1,vix,5,97,0.1049,0.3065,0.2489,0.014
minutes,could+impede,T1,vix,6,97,0.0244,0.8124,0.2023,0.0469
minutes,could+impede,T1,vix,7,96,0.0614,0.5526,0.151,0.1421
minutes,could+impede,T1,vix,8,95,0.0302,0.7712,0.1626,0.1155
minutes,could+impede,T1,vix,9,95,-0.0074,0.943,0.1134,0.2738
minutes,could+impede,T2,cfnai,-9,91,-0.0469,0.6586,-0.1402,0.1851
minutes,could+impede,T2,cfnai,-8,91,-0.0124,0.9075,-0.1371,0.1949
minutes,could+impede,T2,cfnai,-7,91,-0.037,0.7279,-0.2101,0.0456
minutes,could+impede,T2,cfnai,-6,91,0.0162,0.8786,-0.1664,0.1149
minutes,could+impede,T2,cfnai,-5,91,-0.033,0.7562,-0.2138,0.0419
minutes,could+impede,T2,cfnai,-4,91,-0.0859,0.4181,-0.2283,0.0295
minutes,could+impede,T2,cfnai,-3,91,-0.1297,0.2204,-0.2373,0.0235
minutes,could+impede,T2,cfnai,-2,91,-0.1294,0.2215,-0.2108,0.0449
minutes,could+impede,T2,cfnai,-1,91,-0.1362,0.198,-0.2216,0.0347
minutes,could+impede,T2,cfnai,0,91,-0.1581,0.1345,-0.2015,0.0555
minutes,could+impede,T2,cfnai,1,91,-0.1494,0.1576,-0.176,0.0951
minutes,could+impede,T2,cfnai,2,91,-0.1182,0.2644,-0.1809,0.0861
minutes,could+impede,T2,cfnai,3,91,-0.0748,0.4812,-0.1598,0.1302
minutes,could+impede,T2,cfnai,4,90,0.0541,0.6123,-0.1839,0.0827
minutes,could+impede,T2,cfnai,5,89,0.0487,0.6504,-0.1811,0.0894
minutes,could+impede,T2,cfnai,6,89,0.0928,0.387,-0.1551,0.1466
minutes,could+impede,T2,cfnai,7,88,0.0475,0.6603,-0.1801,0.0932
minutes,could+impede,T2,cfnai,8,87,0.0393,0.7178,-0.1613,0.1356
minutes,could+impede,T2,cfnai,9,87,0.0229,0.8329,-0.1172,0.2797
minutes,could+impede,T2,vix,-9,91,0.422,0.0,0.4454,0.0
minutes,could+impede,T2,vix,-8,91,0.4846,0.0,0.4905,0.0
minutes,could+impede,T2,vix,-7,91,0.4295,0.0,0.4423,0.0
minutes,could+impede,T2,vix,-6,91,0.3966,0.0001,0.3933,0.0001
minutes,could+impede,T2,vix,-5,91,0.4628,0.0,0.4792,0.0
minutes,could+impede,T2,vix,-4,91,0.4551,0.0,0.4578,0.0
minutes,could+impede,T2,vix,-3,91,0.4325,0.0,0.4516,0.0
minutes,could+impede,T2,vix,-2,91,0.4835,0.0,0.485,0.0
minutes,could+impede,T2,vix,-1,91,0.4335,0.0,0.4373,0.0
minutes,could+impede,T2,vix,0,91,0.3989,0.0001,0.4,0.0001
minutes,could+impede,T2,vix,1,91,0.4083,0.0001,0.4295,0.0
minutes,could+impede,T2,vix,2,91,0.3747,0.0003,0.3855,0.0002
minutes,could+impede,T2,vix,3,91,0.2112,0.0444,0.3586,0.0005
minutes,could+impede,T2,vix,4,90,0.2665,0.0111,0.3735,0.0003
minutes,could+impede,T2,vix,5,89,0.1713,0.1084,0.3362,0.0013
minutes,could+impede,T2,vix,6,89,0.0845,0.4312,0.2899,0.0059
minutes,could+impede,T2,vix,7,88,0.1344,0.2119,0.2325,0.0293
minutes,could+impede,T2,vix,8,87,0.0787,0.4688,0.2439,0.0228
minutes,could+impede,T2,vix,9,87,0.0239,0.8264,0.1676,0.1208
minutes,should,T1,cfnai,-9,99,0.0941,0.354,-0.1548,0.126
minutes,should,T1,cfnai,-8,99,0.1472,0.146,-0.0279,0.7837
minutes,should,T1,cfnai,-7,99,0.1298,0.2002,-0.034,0.7386
minutes,should,T1,cfnai,-6,99,0.0676,0.5063,-0.0151,0.8819
minutes,should,T1,cfnai,-5,99,-0.0329,0.7462,-0.0386,0.7048
minutes,should,T1,cfnai,-4,99,-0.0401,0.6935,-0.0627,0.5376
minutes,should,T1,cfnai,-3,99,0.0287,0.7776,-0.0776,0.4453
minutes,should,T1,cfnai,-2,99,0.0622,0.5407,-0.136,0.1794
minutes,should,T1,cfnai,-1,99,0.0668,0.5113,-0.0441,0.6646
minutes,should,T1,cfnai,0,99,0.0535,0.5988,0.0062,0.9512
minutes,should,T1,cfnai,1,99,0.0474,0.6413,0.0436,0.6682
minutes,should,T1,cfnai,2,99,0.0579,0.5692,0.0639,0.5299
minutes,should,T1,cfnai,3,99,0.05,0.6233,0.0539,0.596
minutes,should,T1,cfnai,4,98,0.0322,0.7532,0.0036,0.9717
minutes,should,T1,cfnai,5,97,0.0373,0.7166,0.0134,0.896
minutes,should,T1,cfnai,6,97,0.0174,0.8656,-0.018,0.8613
minutes,should,T1,cfnai,7,96,0.0299,0.7725,0.0342,0.7406
minutes,should,T1,cfnai,8,95,0.0241,0.8169,0.0372,0.7204
minutes,should,T1,cfnai,9,95,-0.0784,0.4503,-0.0631,0.5436
minutes,should,T1,vix,-9,99,-0.0953,0.3482,-0.0016,0.9878
minutes,should,T1,vix,-8,99,-0.1202,0.2358,-0.0464,0.6486
minutes,should,T1,vix,-7,99,-0.1884,0.0618,-0.1201,0.2363
minutes,should,T1,vix,-6,99,-0.0942,0.3537,-0.0224,0.8258
minutes,should,T1,vix,-5,99,-0.1208,0.2336,-0.0495,0.6264
minutes,should,T1,vix,-4,99,-0.1751,0.083,-0.0629,0.5365
minutes,should,T1,vix,-3,99,-0.1446,0.1534,-0.0179,0.8601
minutes,should,T1,vix,-2,99,-0.1241,0.2208,-0.0245,0.8096
minutes,should,T1,vix,-1,99,-0.1484,0.1428,-0.0798,0.4324
minutes,should,T1,vix,0,99,-0.1319,0.1933,0.0102,0.9201
minutes,should,T1,vix,1,99,-0.1008,0.3211,-0.0416,0.6828
minutes,should,T1,vix,2,99,-0.1332,0.1888,-0.0641,0.5285
minutes,should,T1,vix,3,99,-0.1583,0.1177,-0.146,0.1492
minutes,should,T1,vix,4,98,-0.1099,0.2812,-0.0903,0.3764
minutes,should,T1,vix,5,97,-0.07,0.4955,-0.0726,0.4797
minutes,should,T1,vix,6,97,-0.0288,0.7798,0.004,0.9688
minutes,should,T1,vix,7,96,0.0298,0.7733,-0.0072,0.9447
minutes,should,T1,vix,8,95,0.0662,0.5239,0.0212,0.8385
minutes,should,T1,vix,9,95,0.0775,0.4556,0.0556,0.5928
minutes,should,T2,cfnai,-9,91,0.0733,0.4898,-0.2587,0.0133
minutes,should,T2,cfnai,-8,91,0.0948,0.3716,-0.1165,0.2713
minutes,should,T2,cfnai,-7,91,0.0219,0.8369,-0.1347,0.2031
minutes,should,T2,cfnai,-6,91,-0.0633,0.5509,-0.1123,0.2891
minutes,should,T2,cfnai,-5,91,-0.1028,0.3324,-0.0883,0.405
minutes,should,T2,cfnai,-4,91,-0.0015,0.9886,-0.1025,0.3335
minutes,should,T2,cfnai,-3,91,-0.0968,0.3613,-0.1271,0.23
minutes,should,T2,cfnai,-2,91,-0.11,0.2993,-0.1872,0.0755
minutes,should,T2,cfnai,-1,91,-0.078,0.4623,-0.099,0.3505
minutes,should,T2,cfnai,0,91,0.0308,0.7719,0.0013,0.99
minutes,should,T2,cfnai,1,91,0.0947,0.3717,0.0803,0.4493
minutes,should,T2,cfnai,2,91,0.0505,0.6342,0.072,0.4974
minutes,should,T2,cfnai,3,91,0.1297,0.2203,0.099,0.3503
minutes,should,T2,cfnai,4,90,0.1102,0.3014,0.0989,0.3537
minutes,should,T2,cfnai,5,89,0.1299,0.2251,0.1093,0.3077
minutes,should,T2,cfnai,6,89,0.1411,0.1871,0.1166,0.2765
minutes,should,T2,cfnai,7,88,0.0931,0.3882,0.1513,0.1593
minutes,should,T2,cfnai,8,87,0.0846,0.4358,0.1521,0.1596
minutes,should,T2,cfnai,9,87,-0.0418,0.7004,0.0526,0.6285
minutes,should,T2,vix,-9,91,-0.0851,0.4225,-0.0123,0.908
minutes,should,T2,vix,-8,91,-0.0742,0.4845,-0.0414,0.697
minutes,should,T2,vix,-7,91,-0.1724,0.1022,-0.1179,0.2655
minutes,should,T2,vix,-6,91,-0.0916,0.3878,-0.0286,0.7877
minutes,should,T2,vix,-5,91,-0.103,0.3311,-0.0236,0.8243
minutes,should,T2,vix,-4,91,-0.1489,0.1589,-0.032,0.7635
minutes,should,T2,vix,-3,91,-0.0717,0.4997,0.0279,0.7926
minutes,should,T2,vix,-2,91,-0.0441,0.6781,0.0391,0.7128
minutes,should,T2,vix,-1,91,-0.0432,0.684,0.0113,0.915
minutes,should,T2,vix,0,91,0.004,0.9701,0.1271,0.2298
minutes,should,T2,vix,1,91,0.0224,0.8329,0.0834,0.4318
minutes,should,T2,vix,2,91,0.0162,0.8786,0.0604,0.5697
minutes,should,T2,vix,3,91,-0.0668,0.5292,-0.037,0.7275
minutes,should,T2,vix,4,90,-0.027,0.8006,0.0134,0.9001
minutes,should,T2,vix,5,89,-0.0125,0.9071,0.0169,0.8753
minutes,should,T2,vix,6,89,0.0316,0.7686,0.1079,0.3143
minutes,should,T2,vix,7,88,0.0977,0.3653,0.0881,0.4143
minutes,should,T2,vix,8,87,0.1153,0.2876,0.1095,0.3128
minutes,should,T2,vix,9,87,0.1123,0.3005,0.1272,0.2402
minutes,would,T1,cfnai,-9,99,-0.0285,0.7794,-0.0888,0.3822
minutes,would,T1,cfnai,-8,99,-0.0873,0.3904,0.0203,0.8419
minutes,would,T1,cfnai,-7,99,-0.1358,0.18,0.0249,0.807
minutes,would,T1,cfnai,-6,99,-0.0338,0.74,0.1249,0.2181
minutes,would,T1,cfnai,-5,99,0.0719,0.4793,0.1124,0.2681
minutes,would,T1,cfnai,-4,99,0.1044,0.3037,0.1065,0.2941
minutes,would,T1,cfnai,-3,99,-0.0638,0.5305,0.1968,0.0509
minutes,would,T1,cfnai,-2,99,-0.1311,0.1959,0.2568,0.0103
minutes,would,T1,cfnai,-1,99,-0.0548,0.59,0.3795,0.0001
minutes,would,T1,cfnai,0,99,0.0544,0.5929,0.3728,0.0001
minutes,would,T1,cfnai,1,99,0.1095,0.2806,0.4567,0.0
minutes,would,T1,cfnai,2,99,0.1441,0.1548,0.4576,0.0
minutes,would,T1,cfnai,3,99,0.2913,0.0034,0.5078,0.0
minutes,would,T1,cfnai,4,98,0.339,0.0006,0.5209,0.0
minutes,would,T1,cfnai,5,97,0.4012,0.0,0.5435,0.0
minutes,would,T1,cfnai,6,97,0.2735,0.0067,0.5133,0.0
minutes,would,T1,cfnai,7,96,0.1486,0.1485,0.4667,0.0
minutes,would,T1,cfnai,8,95,0.1827,0.0764,0.4835,0.0
minutes,would,T1,cfnai,9,95,0.0938,0.3658,0.4264,0.0
